encoder,opn,pre_type,use_static,use_cl,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,False,0,2024-05-30 15:34:29.089880,0.9,7,7,0.03,0.001,200,0.33119717240333557,0.21235240995883942,0.3814915716648102,0.5662528872489929,0.29334357380867004,0.17913009226322174,0.33619943261146545,0.5242103338241577,0.2975139319896698,0.17877687513828278,0.34322334825992584,0.5380361378192902,0.3122703731060028,0.19574125111103058,0.3588455021381378,0.5452316105365753
uvrgcn,sub,all,True,False,0,2024-06-14 13:03:24.451800,0.9,7,7,0.03,0.001,200,0.33119717240333557,0.21235240995883942,0.3814915716648102,0.5662528872489929,0.29334357380867004,0.17913009226322174,0.33619943261146545,0.5242103338241577,0.2975139319896698,0.17877687513828278,0.34322334825992584,0.5380361378192902,0.3122703731060028,0.19574125111103058,0.3588455021381378,0.5452316105365753
uvrgcn,sub,all,True,False,0,2024-06-16 12:05:28.412353,0.9,7,7,0.03,0.001,200,0.33119717240333557,0.21235240995883942,0.3814915716648102,0.5662528872489929,0.29334357380867004,0.17913009226322174,0.33619943261146545,0.5242103338241577,0.2975139319896698,0.17877687513828278,0.34322334825992584,0.5380361378192902,0.3122703731060028,0.19574125111103058,0.3588455021381378,0.5452316105365753
uvrgcn,sub,all,True,False,0,2024-06-18 16:34:51.911097,0.9,7,7,0.03,0.001,200,0.35262754559516907,0.2360682338476181,0.40413767099380493,0.5795337557792664,0.3147168755531311,0.20379453897476196,0.3551720678806305,0.5379756093025208,0.3170356750488281,0.1998082622885704,0.3643455505371094,0.5515794157981873,0.3336722254753113,0.21993138641119003,0.3796548694372177,0.5587546825408936
uvrgcn,sub,all,True,False,0,2024-07-23 15:33:14.032850,0.9,3,3,0.03,0.001,200,0.3249015212059021,0.2082551270723343,0.3721061646938324,0.5576546788215637,0.2880832254886627,0.17650620639324188,0.3282066881656647,0.5128469467163086,0.2927030324935913,0.17680896818637848,0.3357352018356323,0.5276617109775543,0.3064923882484436,0.19238066673278809,0.35015642642974854,0.5352508127689362
uvrgcn,sub,all,True,False,0,2024-07-29 15:46:53.339692,0.9,7,7,0.03,0.001,200,0.37483999133110046,0.2597840428352356,0.42549198865890503,0.5987284183502197,0.3382130563259125,0.22761127352714539,0.3798365294933319,0.5616711974143982,0.3373892307281494,0.2195277065038681,0.3859218955039978,0.5725401341915131,0.35652652382850647,0.2436976581811905,0.40266425907611847,0.580199807882309
uvrgcn,sub,all,True,False,0,2024-08-04 14:45:07.660415,0.9,7,7,0.03,0.001,200,0.37308570742607117,0.2586335837841034,0.42494702339172363,0.5974972248077393,0.33663931488990784,0.227671816945076,0.3777979612350464,0.5588253140449524,0.33627718687057495,0.21962863206863403,0.3850136399269104,0.5700777173042297,0.3548625111579895,0.2431527003645897,0.401372492313385,0.5781612694263458
uvrgcn,sub,all,True,False,0,2024-09-10 11:41:42.104384,0.9,3,3,0.03,0.001,200,0.3714892268180847,0.25691795349121094,0.42171764373779297,0.5966898798942566,0.33794277906417847,0.2283984273672104,0.37969523668289185,0.5598344802856445,0.3359028398990631,0.21905339509248734,0.3836108595132828,0.5705318450927734,0.3547160029411316,0.24265819042921066,0.4007064402103424,0.5782621800899506
uvrgcn,sub,all,True,False,0,2024-09-10 15:37:44.681647,0.9,7,7,0.03,0.001,200,0.37346068024635315,0.25853264331817627,0.4254516065120697,0.5983449816703796,0.3369900584220886,0.22789384424686432,0.3783227503299713,0.5569078922271729,0.33640730381011963,0.21963872015476227,0.38485217094421387,0.5702089071273804,0.3552253842353821,0.2432132437825203,0.4018871784210205,0.5776264369487762
uvrgcn,sub,all,False,False,0,2024-10-03 13:01:23.459276,0.9,7,7,0.03,0.001,200,0.34403470158576965,0.23150672018527985,0.3937430679798126,0.565142810344696,0.3109268248081207,0.2049853652715683,0.3502674400806427,0.5276415348052979,0.31003543734550476,0.19701281934976578,0.3552729934453964,0.5388132035732269,0.3274807631969452,0.21824604272842407,0.37200525403022766,0.546392172574997
uvrgcn,sub,all,True,False,0,2024-10-22 21:47:32.724511,0.9,7,7,0.03,0.001,200,0.3759007751941681,0.2610354423522949,0.42809566855430603,0.5991119146347046,0.3394445478916168,0.22999294102191925,0.3823796510696411,0.5610455274581909,0.3383026719093323,0.22080937027931213,0.38841457664966583,0.5726107954978943,0.35767266154289246,0.2455141916871071,0.40523765981197357,0.5800787210464478
